date,driver_number,gap_to_leader,interval,meeting_key,session_key
2025-12-07 12:05:11.220000+00:00,1,0.0,0.0,1276,9839
2025-12-07 13:03:31.361000+00:00,4,0.22,0.22,1276,9839
2025-12-07 13:03:31.595000+00:00,81,0.481,0.261,1276,9839
2025-12-07 13:03:32.095000+00:00,16,0.826,,1276,9839
2025-12-07 13:03:32.126000+00:00,63,0.932,0.451,1276,9839
2025-12-07 13:03:32.142000+00:00,14,0.936,0.11,1276,9839
2025-12-07 13:03:32.751000+00:00,31,1.337,,1276,9839
2025-12-07 13:03:32.876000+00:00,6,1.492,0.155,1276,9839
2025-12-07 13:03:32.876000+00:00,5,1.503,0.567,1276,9839
2025-12-07 13:03:33.064000+00:00,22,1.665,0.173,1276,9839
2025-12-07 13:03:33.486000+00:00,55,2.033,,1276,9839
2025-12-07 13:03:33.548000+00:00,30,2.084,0.051,1276,9839
2025-12-07 13:03:33.814000+00:00,87,2.133,0.468,1276,9839
2025-12-07 13:03:33.892000+00:00,18,2.276,,1276,9839
2025-12-07 13:03:33.970000+00:00,12,2.374,0.29,1276,9839
2025-12-07 13:03:34.017000+00:00,23,2.617,,1276,9839
2025-12-07 13:03:34.048000+00:00,44,2.394,0.118,1276,9839
2025-12-07 13:03:34.095000+00:00,27,2.692,0.075,1276,9839
2025-12-07 13:03:34.392000+00:00,10,3.018,0.326,1276,9839
2025-12-07 13:03:34.408000+00:00,43,3.103,0.085,1276,9839
2025-12-07 13:03:35.422000+00:00,4,0.12,0.12,1276,9839
2025-12-07 13:03:35.819000+00:00,81,0.312,0.192,1276,9839
2025-12-07 13:03:35.921000+00:00,16,0.482,0.17,1276,9839
2025-12-07 13:03:36.250000+00:00,14,0.542,0.06,1276,9839
2025-12-07 13:03:36.596000+00:00,63,0.677,0.135,1276,9839
2025-12-07 13:03:36.708000+00:00,22,1.256,0.579,1276,9839
2025-12-07 13:03:36.926000+00:00,31,0.895,,1276,9839
2025-12-07 13:03:37.009000+00:00,6,0.885,0.208,1276,9839
2025-12-07 13:03:37.275000+00:00,5,1.004,0.109,1276,9839
2025-12-07 13:03:37.312000+00:00,23,1.854,0.598,1276,9839
2025-12-07 13:03:37.760000+00:00,30,1.351,0.095,1276,9839
2025-12-07 13:03:37.830000+00:00,55,1.508,0.157,1276,9839
2025-12-07 13:03:37.862000+00:00,87,1.619,0.111,1276,9839
2025-12-07 13:03:37.961000+00:00,44,1.738,0.119,1276,9839
2025-12-07 13:03:37.974000+00:00,43,2.504,,1276,9839
2025-12-07 13:03:38.038000+00:00,12,1.872,0.018,1276,9839
2025-12-07 13:03:38.083000+00:00,18,1.898,0.026,1276,9839
2025-12-07 13:03:38.279000+00:00,27,2.185,0.287,1276,9839
2025-12-07 13:03:38.351000+00:00,10,2.353,0.168,1276,9839
2025-12-07 13:03:39.818000+00:00,4,0.284,0.284,1276,9839
2025-12-07 13:03:39.908000+00:00,81,0.441,0.157,1276,9839
2025-12-07 13:03:40.389000+00:00,16,0.778,0.337,1276,9839
2025-12-07 13:03:40.444000+00:00,14,0.824,0.046,1276,9839
2025-12-07 13:03:40.670000+00:00,63,0.983,0.159,1276,9839
2025-12-07 13:03:41.363000+00:00,5,1.357,0.374,1276,9839
2025-12-07 13:03:41.513000+00:00,6,1.407,0.05,1276,9839
2025-12-07 13:03:41.765000+00:00,31,1.568,0.161,1276,9839
2025-12-07 13:03:41.871000+00:00,22,1.627,0.059,1276,9839
2025-12-07 13:03:41.998000+00:00,30,1.689,0.062,1276,9839
2025-12-07 13:03:42.328000+00:00,55,1.876,0.187,1276,9839
2025-12-07 13:03:42.361000+00:00,87,1.904,0.028,1276,9839
2025-12-07 13:03:42.496000+00:00,44,2.112,0.208,1276,9839
2025-12-07 13:03:42.525000+00:00,23,2.178,0.066,1276,9839
2025-12-07 13:03:42.706000+00:00,12,2.384,0.206,1276,9839
2025-12-07 13:03:42.706000+00:00,18,2.41,,1276,9839
2025-12-07 13:03:42.838000+00:00,27,2.616,0.206,1276,9839
2025-12-07 13:03:42.939000+00:00,10,2.789,0.173,1276,9839
2025-12-07 13:03:43.007000+00:00,43,2.955,0.166,1276,9839
2025-12-07 13:03:44.338000+00:00,4,0.407,0.407,1276,9839
2025-12-07 13:03:44.624000+00:00,81,0.682,0.275,1276,9839
2025-12-07 13:03:44.931000+00:00,16,0.985,0.303,1276,9839
2025-12-07 13:03:45.220000+00:00,14,1.241,0.256,1276,9839
2025-12-07 13:03:45.374000+00:00,63,1.416,0.175,1276,9839
2025-12-07 13:03:45.769000+00:00,5,1.76,0.344,1276,9839
2025-12-07 13:03:45.896000+00:00,6,1.903,0.143,1276,9839
2025-12-07 13:03:46.016000+00:00,31,2.031,0.128,1276,9839
2025-12-07 13:03:46.297000+00:00,22,2.236,0.205,1276,9839
2025-12-07 13:03:46.513000+00:00,30,2.386,0.15,1276,9839
2025-12-07 13:03:46.706000+00:00,55,2.499,0.113,1276,9839
