date,meeting_key,overtaken_driver_number,overtaking_driver_number,position,session_key
2025-12-07 13:03:35.856000+00:00,1276,63,16,4,9839
2025-12-07 13:03:36.172000+00:00,1276,63,14,5,9839
2025-12-07 13:03:36.623000+00:00,1276,6,22,9,9839
2025-12-07 13:03:36.623000+00:00,1276,31,22,8,9839
2025-12-07 13:03:36.623000+00:00,1276,5,22,7,9839
2025-12-07 13:03:36.846000+00:00,1276,5,31,8,9839
2025-12-07 13:03:36.846000+00:00,1276,22,31,7,9839
2025-12-07 13:03:36.910000+00:00,1276,5,6,9,9839
2025-12-07 13:03:36.910000+00:00,1276,22,6,8,9839
2025-12-07 13:03:36.910000+00:00,1276,31,6,7,9839
2025-12-07 13:03:37.192000+00:00,1276,22,5,9,9839
2025-12-07 13:03:37.225000+00:00,1276,44,23,16,9839
2025-12-07 13:03:37.225000+00:00,1276,18,23,15,9839
2025-12-07 13:03:37.225000+00:00,1276,12,23,14,9839
2025-12-07 13:03:37.225000+00:00,1276,30,23,13,9839
2025-12-07 13:03:37.225000+00:00,1276,55,23,12,9839
2025-12-07 13:03:37.225000+00:00,1276,87,23,11,9839
2025-12-07 13:03:37.683000+00:00,1276,55,30,13,9839
2025-12-07 13:03:37.683000+00:00,1276,87,30,12,9839
2025-12-07 13:03:37.683000+00:00,1276,23,30,11,9839
2025-12-07 13:03:37.739000+00:00,1276,87,55,13,9839
2025-12-07 13:03:37.739000+00:00,1276,23,55,12,9839
2025-12-07 13:03:37.779000+00:00,1276,23,87,13,9839
2025-12-07 13:03:37.875000+00:00,1276,18,44,16,9839
2025-12-07 13:03:37.875000+00:00,1276,12,44,15,9839
2025-12-07 13:03:37.875000+00:00,1276,23,44,14,9839
2025-12-07 13:03:37.883000+00:00,1276,10,43,19,9839
2025-12-07 13:03:37.883000+00:00,1276,27,43,18,9839
2025-12-07 13:03:37.883000+00:00,1276,18,43,17,9839
2025-12-07 13:03:37.883000+00:00,1276,12,43,16,9839
2025-12-07 13:03:37.970000+00:00,1276,43,12,16,9839
2025-12-07 13:03:37.997000+00:00,1276,43,18,17,9839
2025-12-07 13:03:38.197000+00:00,1276,43,27,18,9839
2025-12-07 13:03:38.265000+00:00,1276,43,10,19,9839
2025-12-07 13:03:47.171000+00:00,1276,12,18,16,9839
2025-12-07 13:03:54.279000+00:00,1276,55,87,12,9839
2025-12-07 13:03:57.724000+00:00,1276,5,6,7,9839
2025-12-07 13:03:59.406000+00:00,1276,44,23,14,9839
2025-12-07 13:03:59.802000+00:00,1276,18,12,16,9839
2025-12-07 13:04:00.186000+00:00,1276,27,10,18,9839
2025-12-07 13:04:00.346000+00:00,1276,10,27,18,9839
2025-12-07 13:04:01.875000+00:00,1276,6,5,7,9839
2025-12-07 13:04:04.202000+00:00,1276,27,10,18,9839
2025-12-07 13:04:12.688000+00:00,1276,10,27,18,9839
2025-12-07 13:04:20.063000+00:00,1276,31,22,9,9839
2025-12-07 13:04:21.220000+00:00,1276,44,12,15,9839
2025-12-07 13:04:21.220000+00:00,1276,23,12,14,9839
2025-12-07 13:04:21.475000+00:00,1276,23,44,15,9839
2025-12-07 13:04:22.069000+00:00,1276,27,10,18,9839
2025-12-07 13:04:22.185000+00:00,1276,31,30,10,9839
2025-12-07 13:04:22.239000+00:00,1276,30,31,10,9839
2025-12-07 13:04:22.239000+00:00,1276,22,31,9,9839
2025-12-07 13:04:23.285000+00:00,1276,12,23,15,9839
2025-12-07 13:04:30.701000+00:00,1276,4,81,2,9839
2025-12-07 13:04:36.147000+00:00,1276,10,27,18,9839
2025-12-07 13:04:39.424000+00:00,1276,12,18,16,9839
2025-12-07 13:04:39.807000+00:00,1276,27,10,18,9839
2025-12-07 13:04:45.874000+00:00,1276,10,27,18,9839
2025-12-07 13:05:55.575000+00:00,1276,27,10,18,9839
2025-12-07 13:05:57.478000+00:00,1276,10,27,18,9839
2025-12-07 13:06:03.039000+00:00,1276,87,55,12,9839
2025-12-07 13:06:06.640000+00:00,1276,55,87,12,9839
2025-12-07 13:06:24.209000+00:00,1276,55,44,13,9839
2025-12-07 13:08:49.433000+00:00,1276,14,63,5,9839
2025-12-07 13:09:04.179000+00:00,1276,87,44,12,9839
2025-12-07 13:09:11.308000+00:00,1276,44,87,12,9839
