date,driver_number,meeting_key,position,session_key
2025-12-07 12:05:19.767000+00:00,1,1276,1,9839
2025-12-07 12:05:19.767000+00:00,4,1276,2,9839
2025-12-07 12:05:19.767000+00:00,81,1276,3,9839
2025-12-07 12:05:19.767000+00:00,63,1276,4,9839
2025-12-07 12:05:19.767000+00:00,16,1276,5,9839
2025-12-07 12:05:19.767000+00:00,14,1276,6,9839
2025-12-07 12:05:19.767000+00:00,5,1276,7,9839
2025-12-07 12:05:19.767000+00:00,31,1276,8,9839
2025-12-07 12:05:19.767000+00:00,6,1276,9,9839
2025-12-07 12:05:19.767000+00:00,22,1276,10,9839
2025-12-07 12:05:19.767000+00:00,87,1276,11,9839
2025-12-07 12:05:19.767000+00:00,55,1276,12,9839
2025-12-07 12:05:19.767000+00:00,30,1276,13,9839
2025-12-07 12:05:19.767000+00:00,12,1276,14,9839
2025-12-07 12:05:19.767000+00:00,18,1276,15,9839
2025-12-07 12:05:19.767000+00:00,44,1276,16,9839
2025-12-07 12:05:19.767000+00:00,23,1276,17,9839
2025-12-07 12:05:19.767000+00:00,27,1276,18,9839
2025-12-07 12:05:19.767000+00:00,10,1276,19,9839
2025-12-07 12:05:19.767000+00:00,43,1276,20,9839
2025-12-07 13:03:35.856000+00:00,63,1276,5,9839
2025-12-07 13:03:35.856000+00:00,16,1276,4,9839
2025-12-07 13:03:36.172000+00:00,63,1276,6,9839
2025-12-07 13:03:36.172000+00:00,14,1276,5,9839
2025-12-07 13:03:36.623000+00:00,5,1276,8,9839
2025-12-07 13:03:36.623000+00:00,31,1276,9,9839
2025-12-07 13:03:36.623000+00:00,6,1276,10,9839
2025-12-07 13:03:36.623000+00:00,22,1276,7,9839
2025-12-07 13:03:36.846000+00:00,5,1276,9,9839
2025-12-07 13:03:36.846000+00:00,31,1276,7,9839
2025-12-07 13:03:36.846000+00:00,22,1276,8,9839
2025-12-07 13:03:36.910000+00:00,5,1276,10,9839
2025-12-07 13:03:36.910000+00:00,31,1276,8,9839
2025-12-07 13:03:36.910000+00:00,6,1276,7,9839
2025-12-07 13:03:36.910000+00:00,22,1276,9,9839
2025-12-07 13:03:37.192000+00:00,5,1276,9,9839
2025-12-07 13:03:37.192000+00:00,22,1276,10,9839
2025-12-07 13:03:37.225000+00:00,87,1276,12,9839
2025-12-07 13:03:37.225000+00:00,55,1276,13,9839
2025-12-07 13:03:37.225000+00:00,30,1276,14,9839
2025-12-07 13:03:37.225000+00:00,12,1276,15,9839
2025-12-07 13:03:37.225000+00:00,18,1276,16,9839
2025-12-07 13:03:37.225000+00:00,44,1276,17,9839
2025-12-07 13:03:37.225000+00:00,23,1276,11,9839
2025-12-07 13:03:37.683000+00:00,87,1276,13,9839
2025-12-07 13:03:37.683000+00:00,55,1276,14,9839
2025-12-07 13:03:37.683000+00:00,30,1276,11,9839
2025-12-07 13:03:37.683000+00:00,23,1276,12,9839
2025-12-07 13:03:37.739000+00:00,87,1276,14,9839
2025-12-07 13:03:37.739000+00:00,55,1276,12,9839
2025-12-07 13:03:37.739000+00:00,23,1276,13,9839
2025-12-07 13:03:37.779000+00:00,87,1276,13,9839
2025-12-07 13:03:37.779000+00:00,23,1276,14,9839
2025-12-07 13:03:37.875000+00:00,12,1276,16,9839
2025-12-07 13:03:37.875000+00:00,18,1276,17,9839
2025-12-07 13:03:37.875000+00:00,44,1276,14,9839
2025-12-07 13:03:37.875000+00:00,23,1276,15,9839
2025-12-07 13:03:37.883000+00:00,12,1276,17,9839
2025-12-07 13:03:37.883000+00:00,18,1276,18,9839
2025-12-07 13:03:37.883000+00:00,27,1276,19,9839
2025-12-07 13:03:37.883000+00:00,10,1276,20,9839
2025-12-07 13:03:37.883000+00:00,43,1276,16,9839
2025-12-07 13:03:37.970000+00:00,12,1276,16,9839
2025-12-07 13:03:37.970000+00:00,43,1276,17,9839
2025-12-07 13:03:37.997000+00:00,18,1276,17,9839
2025-12-07 13:03:37.997000+00:00,43,1276,18,9839
2025-12-07 13:03:38.197000+00:00,27,1276,18,9839
2025-12-07 13:03:38.197000+00:00,43,1276,19,9839
2025-12-07 13:03:38.265000+00:00,10,1276,19,9839
2025-12-07 13:03:38.265000+00:00,43,1276,20,9839
2025-12-07 13:03:41.275000+00:00,5,1276,7,9839
2025-12-07 13:03:41.275000+00:00,31,1276,9,9839
2025-12-07 13:03:41.275000+00:00,6,1276,8,9839
2025-12-07 13:03:47.171000+00:00,12,1276,17,9839
2025-12-07 13:03:47.171000+00:00,18,1276,16,9839
2025-12-07 13:03:54.279000+00:00,87,1276,12,9839
2025-12-07 13:03:54.279000+00:00,55,1276,13,9839
2025-12-07 13:03:57.724000+00:00,5,1276,8,9839
2025-12-07 13:03:57.724000+00:00,6,1276,7,9839
2025-12-07 13:03:59.406000+00:00,44,1276,15,9839
2025-12-07 13:03:59.406000+00:00,23,1276,14,9839
2025-12-07 13:03:59.802000+00:00,12,1276,16,9839
2025-12-07 13:03:59.802000+00:00,18,1276,17,9839
2025-12-07 13:04:00.186000+00:00,27,1276,19,9839
2025-12-07 13:04:00.186000+00:00,10,1276,18,9839
2025-12-07 13:04:00.346000+00:00,27,1276,18,9839
2025-12-07 13:04:00.346000+00:00,10,1276,19,9839
2025-12-07 13:04:01.875000+00:00,5,1276,7,9839
2025-12-07 13:04:01.875000+00:00,6,1276,8,9839
2025-12-07 13:04:04.202000+00:00,27,1276,19,9839
2025-12-07 13:04:04.202000+00:00,10,1276,18,9839
2025-12-07 13:04:12.688000+00:00,27,1276,18,9839
2025-12-07 13:04:12.688000+00:00,10,1276,19,9839
2025-12-07 13:04:20.063000+00:00,31,1276,10,9839
2025-12-07 13:04:20.063000+00:00,22,1276,9,9839
2025-12-07 13:04:21.220000+00:00,12,1276,14,9839
2025-12-07 13:04:21.220000+00:00,44,1276,16,9839
2025-12-07 13:04:21.220000+00:00,23,1276,15,9839
2025-12-07 13:04:21.475000+00:00,44,1276,15,9839
2025-12-07 13:04:21.475000+00:00,23,1276,16,9839
2025-12-07 13:04:22.069000+00:00,27,1276,19,9839
2025-12-07 13:04:22.069000+00:00,10,1276,18,9839
2025-12-07 13:04:22.185000+00:00,31,1276,11,9839
2025-12-07 13:04:22.185000+00:00,30,1276,10,9839
2025-12-07 13:04:22.239000+00:00,31,1276,9,9839
2025-12-07 13:04:22.239000+00:00,22,1276,10,9839
2025-12-07 13:04:22.239000+00:00,30,1276,11,9839
2025-12-07 13:04:23.215000+00:00,12,1276,15,9839
2025-12-07 13:04:23.215000+00:00,44,1276,14,9839
2025-12-07 13:04:23.285000+00:00,12,1276,16,9839
2025-12-07 13:04:23.285000+00:00,23,1276,15,9839
2025-12-07 13:04:30.701000+00:00,4,1276,3,9839
2025-12-07 13:04:30.701000+00:00,81,1276,2,9839
2025-12-07 13:04:36.147000+00:00,27,1276,18,9839
2025-12-07 13:04:36.147000+00:00,10,1276,19,9839
2025-12-07 13:04:39.424000+00:00,12,1276,17,9839
2025-12-07 13:04:39.424000+00:00,18,1276,16,9839
2025-12-07 13:04:39.807000+00:00,27,1276,19,9839
2025-12-07 13:04:39.807000+00:00,10,1276,18,9839
2025-12-07 13:04:45.874000+00:00,27,1276,18,9839
2025-12-07 13:04:45.874000+00:00,10,1276,19,9839
2025-12-07 13:05:55.575000+00:00,27,1276,19,9839
2025-12-07 13:05:55.575000+00:00,10,1276,18,9839
2025-12-07 13:05:57.478000+00:00,27,1276,18,9839
2025-12-07 13:05:57.478000+00:00,10,1276,19,9839
2025-12-07 13:06:03.039000+00:00,87,1276,13,9839
2025-12-07 13:06:03.039000+00:00,55,1276,12,9839
2025-12-07 13:06:06.640000+00:00,87,1276,12,9839
2025-12-07 13:06:06.640000+00:00,55,1276,13,9839
2025-12-07 13:06:24.209000+00:00,55,1276,14,9839
2025-12-07 13:06:24.209000+00:00,44,1276,13,9839
2025-12-07 13:08:49.433000+00:00,63,1276,5,9839
2025-12-07 13:08:49.433000+00:00,14,1276,6,9839
2025-12-07 13:09:04.179000+00:00,87,1276,13,9839
2025-12-07 13:09:04.179000+00:00,44,1276,12,9839
2025-12-07 13:09:11.308000+00:00,87,1276,12,9839
2025-12-07 13:09:11.308000+00:00,44,1276,13,9839
2025-12-07 13:14:20.418000+00:00,27,1276,19,9839
2025-12-07 13:14:20.418000+00:00,10,1276,18,9839
2025-12-07 13:14:21.692000+00:00,27,1276,20,9839
2025-12-07 13:14:21.692000+00:00,43,1276,19,9839
2025-12-07 13:15:41.161000+00:00,55,1276,13,9839
2025-12-07 13:15:41.161000+00:00,44,1276,14,9839
2025-12-07 13:15:42.269000+00:00,18,1276,14,9839
2025-12-07 13:15:42.269000+00:00,44,1276,15,9839
2025-12-07 13:15:42.269000+00:00,23,1276,16,9839
2025-12-07 13:15:42.332000+00:00,18,1276,15,9839
2025-12-07 13:15:42.332000+00:00,44,1276,14,9839
2025-12-07 13:15:42.946000+00:00,12,1276,16,9839
2025-12-07 13:15:42.946000+00:00,23,1276,17,9839
2025-12-07 13:15:47.325000+00:00,18,1276,14,9839
2025-12-07 13:15:47.325000+00:00,44,1276,15,9839
2025-12-07 13:15:48.087000+00:00,12,1276,15,9839
2025-12-07 13:15:48.087000+00:00,44,1276,16,9839
2025-12-07 13:15:50.719000+00:00,44,1276,17,9839
2025-12-07 13:15:50.719000+00:00,23,1276,18,9839
2025-12-07 13:15:50.719000+00:00,10,1276,16,9839
2025-12-07 13:15:52.361000+00:00,44,1276,18,9839
2025-12-07 13:15:52.361000+00:00,23,1276,19,9839
2025-12-07 13:15:52.361000+00:00,43,1276,17,9839
2025-12-07 13:16:16.400000+00:00,23,1276,20,9839
2025-12-07 13:16:16.400000+00:00,27,1276,19,9839
2025-12-07 13:23:22.546000+00:00,10,1276,17,9839
2025-12-07 13:23:22.546000+00:00,43,1276,16,9839
2025-12-07 13:23:32.441000+00:00,44,1276,17,9839
2025-12-07 13:23:32.441000+00:00,10,1276,18,9839
2025-12-07 13:23:33.724000+00:00,27,1276,18,9839
2025-12-07 13:23:33.724000+00:00,10,1276,19,9839
2025-12-07 13:23:36.013000+00:00,23,1276,19,9839
2025-12-07 13:23:36.013000+00:00,10,1276,20,9839
2025-12-07 13:24:35.235000+00:00,63,1276,6,9839
2025-12-07 13:24:35.235000+00:00,14,1276,5,9839
2025-12-07 13:24:41.843000+00:00,31,1276,8,9839
2025-12-07 13:24:41.843000+00:00,6,1276,9,9839
2025-12-07 13:24:42.078000+00:00,63,1276,7,9839
2025-12-07 13:24:42.078000+00:00,5,1276,6,9839
2025-12-07 13:24:45.669000+00:00,87,1276,13,9839
2025-12-07 13:24:45.669000+00:00,55,1276,12,9839
2025-12-07 13:24:46.169000+00:00,87,1276,14,9839
2025-12-07 13:24:46.169000+00:00,18,1276,13,9839
2025-12-07 13:24:46.994000+00:00,63,1276,8,9839
2025-12-07 13:24:46.994000+00:00,31,1276,7,9839
2025-12-07 13:24:47.876000+00:00,63,1276,9,9839
2025-12-07 13:24:47.876000+00:00,6,1276,10,9839
2025-12-07 13:24:47.876000+00:00,22,1276,8,9839
2025-12-07 13:24:49.190000+00:00,63,1276,10,9839
2025-12-07 13:24:49.190000+00:00,6,1276,11,9839
2025-12-07 13:24:49.190000+00:00,30,1276,9,9839
2025-12-07 13:24:50.743000+00:00,63,1276,11,9839
2025-12-07 13:24:50.743000+00:00,6,1276,12,9839
2025-12-07 13:24:50.743000+00:00,55,1276,10,9839
2025-12-07 13:24:51.193000+00:00,63,1276,12,9839
2025-12-07 13:24:51.193000+00:00,6,1276,13,9839
2025-12-07 13:24:51.193000+00:00,18,1276,11,9839
2025-12-07 13:24:52.029000+00:00,63,1276,13,9839
2025-12-07 13:24:52.029000+00:00,6,1276,14,9839
2025-12-07 13:24:52.029000+00:00,87,1276,15,9839
2025-12-07 13:24:52.029000+00:00,12,1276,12,9839
2025-12-07 13:24:58.908000+00:00,6,1276,15,9839
2025-12-07 13:24:58.908000+00:00,87,1276,16,9839
2025-12-07 13:24:58.908000+00:00,43,1276,14,9839
2025-12-07 13:25:01.752000+00:00,6,1276,16,9839
2025-12-07 13:25:01.752000+00:00,87,1276,17,9839
2025-12-07 13:25:01.752000+00:00,44,1276,15,9839
2025-12-07 13:25:03.494000+00:00,6,1276,17,9839
2025-12-07 13:25:03.494000+00:00,87,1276,18,9839
2025-12-07 13:25:03.494000+00:00,27,1276,16,9839
2025-12-07 13:25:05.802000+00:00,87,1276,19,9839
2025-12-07 13:25:05.802000+00:00,23,1276,18,9839
2025-12-07 13:25:07.244000+00:00,63,1276,14,9839
2025-12-07 13:25:07.244000+00:00,43,1276,13,9839
2025-12-07 13:25:13.979000+00:00,6,1276,18,9839
2025-12-07 13:25:13.979000+00:00,23,1276,17,9839
2025-12-07 13:26:17.244000+00:00,5,1276,7,9839
2025-12-07 13:26:17.244000+00:00,31,1276,6,9839
2025-12-07 13:26:18.461000+00:00,5,1276,8,9839
2025-12-07 13:26:18.461000+00:00,22,1276,7,9839
2025-12-07 13:26:20.215000+00:00,5,1276,9,9839
2025-12-07 13:26:20.215000+00:00,30,1276,8,9839
2025-12-07 13:26:21.589000+00:00,5,1276,10,9839
2025-12-07 13:26:21.589000+00:00,55,1276,9,9839
2025-12-07 13:26:22.144000+00:00,5,1276,11,9839
2025-12-07 13:26:22.144000+00:00,18,1276,10,9839
2025-12-07 13:26:23.019000+00:00,5,1276,12,9839
2025-12-07 13:26:23.019000+00:00,12,1276,11,9839
2025-12-07 13:26:25.012000+00:00,63,1276,13,9839
2025-12-07 13:26:25.012000+00:00,43,1276,14,9839
2025-12-07 13:26:26.213000+00:00,44,1276,14,9839
2025-12-07 13:26:26.213000+00:00,43,1276,15,9839
2025-12-07 13:26:32.675000+00:00,27,1276,15,9839
2025-12-07 13:26:32.675000+00:00,43,1276,16,9839
2025-12-07 13:26:35.627000+00:00,23,1276,16,9839
2025-12-07 13:26:35.627000+00:00,43,1276,17,9839
2025-12-07 13:26:38.060000+00:00,6,1276,17,9839
2025-12-07 13:26:38.060000+00:00,43,1276,18,9839
2025-12-07 13:26:38.164000+00:00,63,1276,12,9839
2025-12-07 13:26:38.164000+00:00,5,1276,13,9839
2025-12-07 13:26:39.459000+00:00,5,1276,14,9839
2025-12-07 13:26:39.459000+00:00,44,1276,13,9839
2025-12-07 13:26:40.971000+00:00,5,1276,15,9839
2025-12-07 13:26:40.971000+00:00,27,1276,14,9839
2025-12-07 13:26:41.773000+00:00,87,1276,18,9839
2025-12-07 13:26:41.773000+00:00,43,1276,19,9839
2025-12-07 13:26:57.699000+00:00,10,1276,19,9839
2025-12-07 13:26:57.699000+00:00,43,1276,20,9839
2025-12-07 13:27:16.744000+00:00,55,1276,10,9839
2025-12-07 13:27:16.744000+00:00,18,1276,9,9839
2025-12-07 13:27:48.028000+00:00,4,1276,4,9839
2025-12-07 13:27:48.028000+00:00,16,1276,5,9839
2025-12-07 13:27:48.028000+00:00,14,1276,6,9839
2025-12-07 13:27:48.028000+00:00,31,1276,3,9839
2025-12-07 13:27:49.394000+00:00,4,1276,5,9839
2025-12-07 13:27:49.394000+00:00,16,1276,6,9839
2025-12-07 13:27:49.394000+00:00,14,1276,7,9839
2025-12-07 13:27:49.394000+00:00,22,1276,4,9839
2025-12-07 13:27:51.608000+00:00,16,1276,7,9839
2025-12-07 13:27:51.608000+00:00,14,1276,8,9839
2025-12-07 13:27:51.608000+00:00,30,1276,6,9839
2025-12-07 13:27:52.572000+00:00,16,1276,8,9839
2025-12-07 13:27:52.572000+00:00,14,1276,9,9839
2025-12-07 13:27:52.572000+00:00,18,1276,7,9839
2025-12-07 13:27:53.477000+00:00,14,1276,10,9839
2025-12-07 13:27:53.477000+00:00,55,1276,9,9839
2025-12-07 13:27:54.044000+00:00,14,1276,11,9839
2025-12-07 13:27:54.044000+00:00,12,1276,10,9839
2025-12-07 13:27:58.695000+00:00,63,1276,11,9839
2025-12-07 13:27:58.695000+00:00,14,1276,12,9839
2025-12-07 13:27:59.874000+00:00,4,1276,6,9839
2025-12-07 13:27:59.874000+00:00,30,1276,5,9839
2025-12-07 13:28:00.902000+00:00,4,1276,7,9839
