category,date,driver_number,flag,lap_number,meeting_key,message,qualifying_phase,scope,sector,session_key
Flag,2025-12-07 12:20:00+00:00,,GREEN,1,1276,GREEN LIGHT - PIT EXIT OPEN,,Track,,9839
Other,2025-12-07 12:30:00+00:00,,,1,1276,PIT EXIT CLOSED,,,,9839
Other,2025-12-07 12:45:02+00:00,,,1,1276,RISK OF RAIN FOR F1 RACE IS 0%,,,,9839
Flag,2025-12-07 12:51:46+00:00,,DOUBLE YELLOW,1,1276,DOUBLE YELLOW IN TRACK SECTOR 14,,Sector,14,9839
Other,2025-12-07 12:51:47+00:00,,,1,1276,DRS DISABLED IN ZONE 1,,,,9839
Other,2025-12-07 12:51:59+00:00,,,1,1276,DRS ENABLED IN ZONE 1,,,,9839
Flag,2025-12-07 12:51:59+00:00,,CLEAR,1,1276,CLEAR IN TRACK SECTOR 14,,Sector,14,9839
Drs,2025-12-07 12:57:03+00:00,,,1,1276,DRS DISABLED,,,,9839
SessionStatus,2025-12-07 13:03:27.584000+00:00,,,1,1276,SESSION STARTED,,,,9839
Flag,2025-12-07 13:03:28+00:00,,GREEN,1,1276,GREEN LIGHT - PIT EXIT OPEN,,Track,,9839
Drs,2025-12-07 13:05:07+00:00,,,2,1276,DRS ENABLED,,,,9839
Other,2025-12-07 13:05:29+00:00,,,2,1276,INCIDENT INVOLVING CAR 43 (COL) NOTED - STARTING PROCEDURE INFRINGEMENT,,,,9839
Other,2025-12-07 13:06:50+00:00,,,3,1276,TURN 7 INCIDENT INVOLVING CARS 44 (HAM) AND 23 (ALB) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,9839
Other,2025-12-07 13:09:29+00:00,,,5,1276,FIA STEWARDS: INCIDENT INVOLVING CAR 43 (COL) REVIEWED NO FURTHER INVESTIGATION - STARTING PROCEDURE INFRINGEMENT,,,,9839
Other,2025-12-07 13:10:25+00:00,,,5,1276,TURN 6 INCIDENT INVOLVING CARS 12 (ANT) AND 18 (STR) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,9839
Other,2025-12-07 13:10:33+00:00,,,5,1276,CAR 30 (LAW) TIME 1:30.661 DELETED - TRACK LIMITS AT TURN 1 LAP 4 17:08:15,,,,9839
Other,2025-12-07 13:10:34+00:00,,,5,1276,CAR 27 (HUL) TIME 1:30.573 DELETED - TRACK LIMITS AT TURN 1 LAP 4 17:08:19,,,,9839
Other,2025-12-07 13:11:44+00:00,,,6,1276,CAR 10 (GAS) TIME 1:32.010 DELETED - TRACK LIMITS AT TURN 6 LAP 2 17:05:53,,,,9839
