dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,points,position,session_key
False,False,1,False,5167.469,0,1276,58,25.0,1,9839
False,False,81,False,5180.063,12.594,1276,58,18.0,2,9839
False,False,4,False,5184.041,16.572,1276,58,15.0,3,9839
False,False,16,False,5190.748,23.279,1276,58,12.0,4,9839
False,False,63,False,5216.032,48.563,1276,58,10.0,5,9839
False,False,14,False,5235.031,67.562,1276,58,8.0,6,9839
False,False,31,False,5237.345,69.876,1276,58,6.0,7,9839
False,False,44,False,5240.139,72.67,1276,58,4.0,8,9839
False,False,27,False,5246.483,79.014,1276,58,2.0,9,9839
False,False,18,False,5246.992,79.523,1276,58,1.0,10,9839
False,False,5,False,5248.512,81.043,1276,58,0.0,11,9839
False,False,87,False,5248.635,81.166,1276,58,0.0,12,9839
False,False,55,False,5249.627,82.158,1276,58,0.0,13,9839
False,False,22,False,5251.263,83.794,1276,58,0.0,14,9839
False,False,12,False,5251.868,84.399,1276,58,0.0,15,9839
False,False,23,False,5257.796,90.327,1276,58,0.0,16,9839
False,False,6,False,,+1 LAP,1276,57,0.0,17,9839
False,False,30,False,,+1 LAP,1276,57,0.0,18,9839
False,False,10,False,,+1 LAP,1276,57,0.0,19,9839
False,False,43,False,,+1 LAP,1276,57,0.0,20,9839
